ID,main_use,size_ratio,curve_shape,A1,A2,A3,A4,S_A4-A1,S_A2-A3,S_median,I99,I80,I50,I30,I10,I_mean,S_cap,S_dead,S_flood_cap
1762,Hydroelectricity,0.391916216,four-piece,0,4,6,10,1313.415842,1651.013137,,40.92240397,4.93627104,1.4513184,0.27804544,-0.4318192,4.770890814,1995.889,1129.191,1975.93011
1763,Flood control,0.142534352,four-piece,1,5,7,11,305.0910109,403.0320435,,8.71506888,3.2331712,1.8133832,1.2735392,0.742276,2.302429613,424.875,248.904,420.62625
1765,Flood control,0.025987173,four-piece,1,5,8,1,62.92319355,111.7310691,,19.27269472,8.3547552,4.7623264,3.4731792,2.3740952,5.942110214,119.286,47.76,118.09314
1767,Flood control,0.157785585,four-piece,1,5,5,11,290.2390272,351.742871,,6.76733264,2.3613456,1.288292,0.91312,0.5014312,1.676281617,386.779,247.3,382.91121
1768,Hydroelectricity,0.011787699,single,,,,,,,510.9270999,171.7468705,67.8509072,31.2967432,20.403352,11.8051176,43.8794799,699.719,455.552,692.72181
1770,Flood control,0.191516515,four-piece,1,6,6,12,787.6748145,1247.6271,,46.62515904,14.5470272,7.401636,5.066352,2.9790112,10.14897542,1497.124,543.59,1482.15276
1774,Flood control,0.127782932,four-piece,2,6,6,12,418.3376722,850.3155333,,36.982966,15.6017344,8.8535752,5.6838392,2.98352,10.68141297,916.527,285.12,907.36173
1775,Flood control,0.283612468,four-piece,2,5,9,1,383.4250339,489.3146601,,40.56250352,4.1348896,1.1475504,0.294,-0.196,4.081161911,805.901,354.728,797.84199
1776,Water supply,0.135064317,single,,,,,,,50.04688844,8.545214496,1.96263872,1.1848976,0.84969504,0.51809856,1.56520279,127.209,38.621,125.93691
1781,Flood control,0.114643948,four-piece,2,6,7,12,219.9996778,741.5377951,,59.29062528,22.342104,13.4138104,9.6139184,5.942752,16.336137,903.586,114.915,894.55014
1782,Water supply,0.308777624,four-piece,4,10,11,3,160.636623,133.0042131,,20.45128291,1.72857024,0.2881376,-0.101488,-0.45286688,2.512228551,416.142,52.885,411.98058
1787,Hydroelectricity,0.006085383,four-piece,0,2,9,11,17.45021311,23.8885,,64.48296648,10.0215728,3.6198592,1.1250168,0.087,7.909717576,35.019,9.029,34.66881
1796,Water supply,0.279699713,single,,,,,,,265.1671124,40.67340726,4.64133152,1.5803152,0.69439936,0.05867584,4.298483578,704.001,170.798,696.96099
1800,Hydroelectricity,0.09208244,four-piece,2,5,7,1,49.80383898,68.04110326,,5.9117948,1.0854176,0.3492992,0.251168,0.2056896,0.840407163,78.05,31.156,77.2695
1801,Flood control,0.094865502,four-piece,2,6,7,12,571.4312778,844.2370492,,28.57665936,12.895104,8.1697504,6.1199312,3.9695664,9.422416321,897.691,268.196,888.71409
1817,Hydroelectricity,0.000931878,single,,,,,,,34.20594262,17.19387816,6.9603008,4.7615808,2.9444048,0.7797656,4.96289901,35.894,20.222,35.53506
1818,Flood control,0.069511959,four-piece,2,6,7,12,134.17415,241.876877,,15.7119908,7.094368,4.9904024,3.7899688,2.2493856,5.382925149,270.749,92.749,268.04151
1823,Hydroelectricity,0.012086212,four-piece,3,5,10,1,41.56894444,48.66169022,,12.10373512,4.0488704,2.5983032,1.8364712,1.1140752,3.091274367,55.206,39.803,54.65394
1828,Flood control,0.12612657,four-piece,1,6,6,12,100.062129,137.8844667,,3.5564992,1.4840784,0.8195904,0.5319144,0.293664,1.014915931,146.785,88.217,145.31715
1833,Flood control,0.153846056,four-piece,1,6,6,1,55.10509677,98.05915,,3.37662,1.2862736,0.7182112,0.4666792,0.2504968,0.896411177,105.442,40.896,104.38758
1834,Hydroelectricity,0.09778983,four-piece,1,5,6,12,74.80283871,112.3680984,,4.05654472,1.732768,1.1175728,0.8200384,0.5098104,1.290667346,120.871,21.194,119.66229
1835,Hydroelectricity,0.010091083,four-piece,2,5,7,11,524.0662417,638.4451848,,515.0995259,172.9443104,94.1023104,64.6822176,35.6638624,122.9493925,976.919,457.477,967.14981
1843,Flood control,0.140607408,four-piece,1,5,10,12,29.80704839,54.78775272,,5.21102648,1.2844224,0.3353568,0.1417128,0.0317952,0.821834593,71.985,18.241,71.26515
1846,Flood control,0.13114304,four-piece,1,5,10,12,17.17583871,25.24481793,,1.8925968,0.4021456,0.1191072,0.0489024,0.0121392,0.281532209,30.652,15.548,30.34548
1848,Flood control,0.832116842,four-piece,0,6,7,12,182.1314677,821.5324262,,47.8158,7.82973216,2.8137072,1.22467104,-0.24332096,6.661365395,2205.339,220.5339,2183.28561
1851,Hydroelectricity,0.167117297,four-piece,0,4,5,11,2812.473,3167.321279,,54.19739949,14.98411616,6.8931616,3.47436576,-1.08850656,11.19205694,3495.164,1884.316,3460.21236
1855,Flood control,0.0401305,four-piece,5,10,10,12,20.55399451,18.49635484,,5.09769104,0.831416,0.2602752,0.1037616,0.014688,0.592426466,27.174,15.444,26.90226
1864,Flood control,0.789044953,four-piece,1,6,7,12,99.92664516,380.5579918,,25.65911776,3.1805888,0.97884,0.3673424,-0.1219728,2.945695165,948.291,94.8291,938.80809
1869,Flood control,0.82152301,four-piece,0,6,7,12,152.2002581,717.6814508,,55.40574035,5.6271456,0.9786848,-3.20E-05,-1.2225712,6.847898445,2205.583,220.5583,2183.52717
1883,Hydroelectricity,0.213929726,four-piece,3,6,11,3,18.84945161,9.754748634,,12.9519179,1.82289536,0.9451472,0.85478032,0.70628736,1.734781063,145.214,14.5214,143.76186
7306,Hydroelectricity,0.000325885,single,,,,,,,383.9105385,544.2480778,177.9171104,94.3699648,62.9863416,32.3207704,125.4704537,398.835,364.992,394.84665
7308,Hydroelectricity,0.03540217,single,,,,,,,1231.555393,54.62549445,22.19108384,12.2128096,7.15234272,0.37033584,15.42375916,1430.858,1096.338,1416.54942
7311,Flood control,0.6633095,four-piece,3,6,6,8,47.37340535,54.02711667,,20.90903754,0.90058272,0.1873624,0.0243424,-0.0807312,1.625512778,440.923,44.0923,436.51377
7317,Flood control,0.139709934,four-piece,2,5,8,1,255.8202797,323.0600935,,12.741286,3.7189776,1.2397952,0.6390512,0.274808,2.320967729,374.176,161.173,370.43424
